Country/Region,Country factor,EEA/SW/UK or Non
Bermuda,173.4,Non
Cayman Islands,134,Non
Turks and Caicos Islands,104.4,Non
Switzerland,146.5,EEA/SW/UK
Barbados,96.3,Non
Bahamas,98.9,Non
Iceland,133.8,EEA/SW/UK
Israel,113.4,Non
New Caledonia,99.3,Non
Denmark,127.7,EEA/SW/UK
Ireland,133.2,EEA/SW/UK
Virgin Islands,78.7,Non
Palau,78.4,Non
United States,133.2,Non
Vanuatu,69.4,Non
Luxembourg,140.1,EEA/SW/UK
Australia,118.5,Non
New Zealand,105.5,Non
United Kingdom,104.5,EEA/SW/UK
Norway,154.1,EEA/SW/UK
Canada,109.7,Non
Finland,109.1,EEA/SW/UK
Lebanon,61.6,Non
Netherlands,115.8,EEA/SW/UK
Belgium,109.7,EEA/SW/UK
Sweden,116.9,EEA/SW/UK
Malta,110,EEA/SW/UK
Austria,110.3,EEA/SW/UK
France,100,EEA/SW/UK
Germany,109.3,EEA/SW/UK
Singapore,127,Non
Slovenia,100,EEA/SW/UK
Qatar,126.8,Non
Hong Kong,110.9,Non
Japan,93,Non
United Arab Emirates,109.3,Non
Italy,91.9,EEA/SW/UK
South Korea,88.7,Non
Estonia,79.1,EEA/SW/UK
Spain,84.5,EEA/SW/UK
Costa Rica,61.9,Non
Macao,99.1,Non
Czech Republic,77.8,EEA/SW/UK
Portugal,76.6,EEA/SW/UK
Lithuania,73,EEA/SW/UK
Slovakia,72,EEA/SW/UK
Greece,71.7,EEA/SW/UK
Haiti,42.9,Non
Mexico,56.9,Non
Chile,61.4,Non
Croatia,67.8,EEA/SW/UK
Hungary,66.4,EEA/SW/UK
China,55.9,Non
Saudi Arabia,80.7,Non
Brazil,48.3,Non
Honduras,37.7,Non
Serbia,49.7,Non
El Salvador,40.9,Non
Albania,45,Non
Poland,66,EEA/SW/UK
Ecuador,42.2,Non
East Timor,33.7,Non
Guatemala,40,Non
Romania,60.7,EEA/SW/UK
Bulgaria,56.5,EEA/SW/UK
Brunei,97.2,Non
Montenegro,50.6,Non
South Africa,41,Non
Morocco,34.6,Non
Iraq,38.4,Non
Ethiopia,27.8,Non
Philippines,34.2,Non
Colombia,40,Non
Cambodia,28.5,Non
Kazakhstan,49.1,Non
Ghana,28.2,Non
Indonesia,34.4,Non
Cameroon,26.5,Non
Russia,57.5,Non
Zambia,25.6,Non
Eswatini,31.8,Non
Benin,25.9,Non
Bolivia,31,Non
Nigeria,26.5,Non
Lesotho,24.4,Non
Thailand,39.9,Non
Malaysia,52.3,Non
Cyprus,50,EEA/SW/UK
Kenya,26.5,Non
Azerbaijan,38.5,Non
Mongolia,33.9,Non
Kyrgyzstan,25.2,Non
Mauritania,26.4,Non
Turkey,51.9,Non
Algeria,33.8,Non
Georgia,38.4,Non
Vietnam,31.4,Non
Tajikistan,23.8,Non
Tunisia,30.2,Non
Belarus,41.5,Non
Bangladesh,27.3,Non
Ukraine,33.7,Non
Sri Lanka,29,Non
Tanzania,21.8,Non
Nepal,21.8,Non
Uzbekistan,24.7,Non
Bhutan,28.6,Non
Laos,23.8,Non
Suriname,34.5,Non
Libya,42,Non
Myanmar,20,Non
India,24.6,Non
Zimbabwe,21.4,Non
Pakistan,20,Non
Egypt,29.9,Non
